English,US
SELECT_MEDIA_FOLDERS,"Select Media Folders"
OLD,"Old:"
NEW,"New:"
CHOOSE,"Choose"
NEXT,"Next"
OLD_MEDIA_FOLDER,"Old Media Folder"
NEW_MEDIA_FOLDER,"New Media Folder"
OLD_MEDIA_DIRECTORY_MUST_EXIST,"Old media folder must exist!"
NEW_MEDIA_DIRECTORY_MUST_EXIST,"New media folder must exist!"
INITIALIZING,"Initializing..."
ERROR,"Error"
COPYING_IMAGES,"Copying images..."
IMPORTING_MATERIALS,"Importing materials..."
IMPORTING_MAP,"Importing map"
IMPORTING_WORLD,"Importing world"
UNKNOWN_SECTION,"Unknown section"
WILL_BE_SKIPPED,"will be skipped"
FAILED_TO_SAVE,"Failed to save"
FAILED_TO_OPEN,"Failed to open"
WEATHER_CYCLE_FILE_NOT_FOUND,"Weather cycle file not found."
IMPORTING_WEATHER,"Importing weather..."
IMPORTING_CUSTOM_WEATHER,"Importing custom weather..."
IMPORTING_WEATHER_CYCLE,"Importing weather cycle"
FAILED_TO_IMPORT_WEATHER,"Failed to import weather"
FAILED_TO_IMPORT_WEATHER_CYCLE,"Failed to import weather cycle"
IMPORTING_AD1,"Importing 'ad1.dat'..."
IMPORTING_CD1,"Importing 'cd1.dat'..."
IMPORTING_CD2,"Importing 'cd2.dat'..."